alive,height_cm,diameter_mm,case_control,case,canopy_width,canopy_length,canopy_area,bird_species,ant_species
A,125,44.58598726,0,19,1.09,1.1,0.94,STAR,RRB
A,410.5,117.8343949,1,20,2.85,2.8,6.26,STAR,RRB
A,316,92.3566879,0,20,3.5,3.19,8.78,STAR,RRB
A,522,156.0509554,0,20,4.58,5.7,20.74,STAR,RRB
A,332,82.80254777,0,20,2.39,2.58,4.85,STAR,AB
A,158.5,39.8089172,0,20,1.2,1.49,1.42,STAR,RRB
A,396,16.87898089,1,21,2.88,5.9,15.13,STAR,RRB
A,279,11.78343949,0,21,2.28,1.55,2.88,STAR,RRB
A,210,44.58598726,0,21,1.7,1.49,2,STAR,RRB
A,97.5,31.84713376,0,21,1.23,0.78,0.79,STAR,RRB
A,223.5,60.50955414,0,21,1.88,2.24,3.33,STAR,RRB
A,288.5,73.24840764,1,22,1.96,2.35,3.65,GHS,RRB
A,221.5,50.95541401,0,22,2.5,2.33,4.58,GHS,RRB
A,90,44.58598726,0,22,1.35,0.97,1.06,GHS,RRB
A,216.5,57.32484076,0,22,2.65,2.27,4.75,GHS,RRB
A,207,50.95541401,0,22,1.17,1.04,0.96,GHS,RRB
A,201,54.14012739,1,23,2.45,1.45,2.98,STAR,BBR
A,169,38.21656051,0,23,1.66,1.68,2.19,STAR,BBR
A,119.5,35.03184713,0,23,1.02,0.91,0.73,STAR,RRB
A,109,38.21656051,0,23,1.18,1.27,1.18,STAR,BBR
A,199.5,44.58598726,0,23,1,1.44,1.17,STAR,BBR
A,236.5,98.33,1,24,2.07,2.41,3.94,GHS,RRB
A,114,20.06,0,24,0.61,0.75,0.36,GHS,RRB
A,117.5,46.1,0,24,0.31,0.69,0.2,GHS,RRB
D,157,58.48,0,24,0.97,0.65,0.52,GHS,NONE
A,118,63.99,0,24,1.45,1.45,1.65,GHS,RRB
A,181,58.76,1,25,2.18,1.59,2.79,GHS,RRB
A,168.5,43.42,0,25,1.05,1.1,0.91,GHS,RRB
A,212.5,55.37,0,25,1.85,1.81,2.63,GHS,RRB
A,193.5,50.71,0,25,2.48,2.63,5.12,GHS,RRB
A,76.5,23.42,0,25,1.01,0.72,0.59,GHS,RRB
A,220,111,1,26,2.55,3.37,6.88,STAR,RRB
A,176,63.73,0,26,2.13,3.05,5.27,STAR,RRB
